2024_02_03_23_11_34	--> LOG START <--
2024_02_03_23_11_35	airquality load complete!
2024_02_03_23_17_59	uncorrupted          p25:7.2402 median:10.2989 p75:12.1531 Mean:9.5339 Std:6.2624
2024_02_03_23_17_59	Gaussian-Noise       p25:-397.3724 median:-323.0164 p75:-246.2031 Mean:-347.3051 Std:205.263
2024_02_03_23_17_59	Random-jitter        p25:-457.9485 median:-77.6087 p75:-9.5653 Mean:-879.7019 Std:4533.5034
2024_02_03_23_18_03	Worst NB LL          p25:-409.2276 median:-360.0268 p75:-317.8467 Mean:-380.0529 Std:130.6117
2024_02_03_23_18_03	Avg NB LL            p25:-133.7065 median:-119.4852 p75:-99.0609 Mean:-137.1224 Std:74.3875
2024_02_03_23_18_03	uncorrupted          p25:7.2426 median:9.8801 p75:11.9129 Mean:9.2884 Std:4.5666
2024_02_03_23_18_03	Gaussian-Noise       p25:-290.675 median:-269.253 p75:-212.8923 Mean:-274.5806 Std:201.1362
2024_02_03_23_18_03	Random-jitter        p25:-300.9897 median:-31.344 p75:-5.6368 Mean:-322.6022 Std:1378.4092
2024_02_03_23_18_06	Worst NB LL          p25:-281.7648 median:-266.0967 p75:-248.7724 Mean:-290.9482 Std:133.7298
2024_02_03_23_18_06	Avg NB LL            p25:-95.5272 median:-84.9342 p75:-74.0345 Mean:-104.0884 Std:74.6335
