2024_02_03_23_11_40	--> LOG START <--
2024_02_03_23_11_41	energy load complete!
2024_02_03_23_42_46	uncorrupted          p25:-9.97 median:-5.8534 p75:-2.446 Mean:-6.5834 Std:6.5882
2024_02_03_23_42_46	Gaussian-Noise       p25:-49.9107 median:-32.3228 p75:-21.8016 Mean:-39.7456 Std:25.6258
2024_02_03_23_42_46	Random-jitter        p25:-112.6264 median:-60.7749 p75:-32.2677 Mean:-91.0948 Std:98.2955
2024_02_03_23_42_57	Worst NB LL          p25:-83.3141 median:-60.6162 p75:-44.4311 Mean:-67.2593 Std:29.7252
2024_02_03_23_42_57	Avg NB LL            p25:-29.9442 median:-21.4895 p75:-16.7737 Mean:-23.708 Std:9.354
2024_02_03_23_42_57	uncorrupted          p25:-11.1388 median:-8.0463 p75:-4.0464 Mean:-7.5505 Std:5.3424
2024_02_03_23_42_57	Gaussian-Noise       p25:-39.8799 median:-27.4589 p75:-20.0064 Mean:-32.0309 Std:17.0072
2024_02_03_23_42_57	Random-jitter        p25:-76.8385 median:-43.2969 p75:-25.7441 Mean:-63.2507 Std:64.2506
2024_02_03_23_43_08	Worst NB LL          p25:-61.4685 median:-45.4393 p75:-34.7754 Mean:-50.287 Std:20.1717
2024_02_03_23_43_08	Avg NB LL            p25:-26.0284 median:-19.8374 p75:-16.3149 Mean:-21.9214 Std:7.7236
