2024_02_03_23_11_47	--> LOG START <--
2024_02_03_23_11_48	hepmass load complete!
2024_02_04_01_49_46	uncorrupted          p25:-27.3577 median:-23.9447 p75:-20.7404 Mean:-24.3581 Std:4.7457
2024_02_04_01_49_46	Gaussian-Noise       p25:-31.0356 median:-28.2309 p75:-25.6765 Mean:-28.5211 Std:4.5582
2024_02_04_01_49_46	Random-jitter        p25:-27.9796 median:-25.292 p75:-22.3277 Mean:-25.4571 Std:4.8579
2024_02_04_01_50_31	Worst NB LL          p25:-33.0302 median:-30.2929 p75:-28.0749 Mean:-30.8869 Std:4.2104
2024_02_04_01_50_31	Avg NB LL            p25:-28.834 median:-26.0677 p75:-23.1883 Mean:-26.3123 Std:4.3301
2024_02_04_01_50_31	uncorrupted          p25:-29.0663 median:-25.4447 p75:-21.3206 Mean:-25.1454 Std:4.9012
2024_02_04_01_50_31	Gaussian-Noise       p25:-31.6755 median:-29.8028 p75:-27.4354 Mean:-29.2364 Std:3.8971
2024_02_04_01_50_31	Random-jitter        p25:-29.2491 median:-27.0901 p75:-22.7245 Mean:-26.0838 Std:4.6118
2024_02_04_01_51_16	Worst NB LL          p25:-32.9448 median:-31.2188 p75:-29.6803 Mean:-31.3062 Std:2.8514
2024_02_04_01_51_16	Avg NB LL            p25:-29.9768 median:-27.6994 p75:-24.1974 Mean:-27.0613 Std:4.0688
