2024_02_03_23_11_56	--> LOG START <--
2024_02_03_23_11_57	miniboone load complete!
2024_02_04_00_46_40	uncorrupted          p25:-28.0658 median:-18.9787 p75:-11.0189 Mean:-21.4121 Std:14.8275
2024_02_04_00_46_40	Gaussian-Noise       p25:-53.8983 median:-43.445 p75:-34.4571 Mean:-44.5822 Std:13.8723
2024_02_04_00_46_40	Random-jitter        p25:-67.2174 median:-57.2831 p75:-41.4078 Mean:-56.1783 Std:20.916
2024_02_04_00_47_06	Worst NB LL          p25:-60.0992 median:-52.8893 p75:-45.4145 Mean:-53.5884 Std:11.5907
2024_02_04_00_47_06	Avg NB LL            p25:-37.8748 median:-28.98 p75:-22.0043 Mean:-31.3827 Std:12.8399
2024_02_04_00_47_06	uncorrupted          p25:-30.2625 median:-22.6086 p75:-15.1306 Mean:-24.2838 Std:15.6327
2024_02_04_00_47_06	Gaussian-Noise       p25:-54.4903 median:-41.3644 p75:-33.1801 Mean:-43.8003 Std:13.9543
2024_02_04_00_47_06	Random-jitter        p25:-65.926 median:-57.8412 p75:-38.6089 Mean:-53.8522 Std:18.5462
2024_02_04_00_47_26	Worst NB LL          p25:-60.9172 median:-50.5211 p75:-42.1568 Mean:-51.9605 Std:12.3043
2024_02_04_00_47_26	Avg NB LL            p25:-38.4198 median:-30.1216 p75:-23.2763 Mean:-32.6709 Std:13.1081
