2024_02_03_23_11_31	--> LOG START <--
2024_02_03_23_21_49	mnist load complete!
2024_02_04_00_34_58	uncorrupted          p25:-4.8 median:-1.5294 p75:2.4906 Mean:-0.5875 Std:6.3944
2024_02_04_00_34_58	Gaussian-Noise       p25:-7.164 median:-4.473 p75:-1.5422 Mean:-4.4057 Std:4.249
2024_02_04_00_34_58	Random-jitter        p25:-8.4563 median:-6.0079 p75:-3.3404 Mean:-5.8699 Std:4.0463
2024_02_04_00_35_29	Worst NB LL          p25:-663.087 median:-636.1559 p75:-610.1471 Mean:-637.9501 Std:38.63
2024_02_04_00_35_29	Avg NB LL            p25:-269.0555 median:-264.549 p75:-260.1923 Mean:-264.6001 Std:6.6156
2024_02_04_00_35_29	uncorrupted          p25:-6.3796 median:-4.9724 p75:-3.6155 Mean:-3.5691 Std:5.9863
2024_02_04_00_35_29	Gaussian-Noise       p25:-7.257 median:-5.7833 p75:-4.523 Mean:-6.0078 Std:2.2871
2024_02_04_00_35_29	Random-jitter        p25:-7.9544 median:-6.4893 p75:-5.1615 Mean:-6.557 Std:2.3428
2024_02_04_00_35_57	Worst NB LL          p25:-659.9416 median:-632.9307 p75:-607.1332 Mean:-634.8521 Std:38.3606
2024_02_04_00_35_57	Avg NB LL            p25:-268.5182 median:-264.5342 p75:-260.6341 Mean:-264.5359 Std:5.9004
