2024_02_03_23_11_50	--> LOG START <--
2024_02_03_23_11_54	onlinenews load complete!
2024_02_04_00_20_46	uncorrupted          p25:-10.4334 median:0.134 p75:11.7012 Mean:-1.215 Std:27.5491
2024_02_04_00_20_46	Gaussian-Noise       p25:-378.9459 median:-144.2657 p75:-93.4164 Mean:-256.9955 Std:237.3061
2024_02_04_00_20_46	Random-jitter        p25:-1320.9735 median:-443.1533 p75:-78.6514 Mean:-1013.9158 Std:1404.9262
2024_02_04_00_21_11	Worst NB LL          p25:-686.784 median:-620.0725 p75:-565.2769 Mean:-632.7075 Std:99.9199
2024_02_04_00_21_11	Avg NB LL            p25:-114.6994 median:-109.1191 p75:-104.9187 Mean:-120.1847 Std:53.0991
2024_02_04_00_21_11	uncorrupted          p25:-11.4001 median:-1.144 p75:11.8126 Mean:-1.611 Std:19.1827
2024_02_04_00_21_11	Gaussian-Noise       p25:-367.4909 median:-128.1601 p75:-84.3224 Mean:-240.2239 Std:229.8825
2024_02_04_00_21_11	Random-jitter        p25:-1316.5841 median:-440.6049 p75:-69.1521 Mean:-1009.9002 Std:1402.9786
2024_02_04_00_21_36	Worst NB LL          p25:-682.6583 median:-620.5734 p75:-567.0124 Mean:-627.7907 Std:84.8215
2024_02_04_00_21_36	Avg NB LL            p25:-118.1832 median:-114.1199 p75:-110.7197 Mean:-115.9152 Std:17.2442
