2024_02_03_23_11_37	--> LOG START <--
2024_02_03_23_11_38	parkinson load complete!
2024_02_03_23_16_39	uncorrupted          p25:-6.4046 median:-2.1184 p75:0.9453 Mean:-3.8103 Std:11.1338
2024_02_03_23_16_39	Gaussian-Noise       p25:-19.1105 median:-15.2832 p75:-11.8463 Mean:-16.1342 Std:9.8582
2024_02_03_23_16_39	Random-jitter        p25:-23.3147 median:-14.8339 p75:-8.2782 Mean:-20.4697 Std:33.9389
2024_02_03_23_16_42	Worst NB LL          p25:-22.504 median:-19.6241 p75:-17.2737 Mean:-21.2031 Std:13.2773
2024_02_03_23_16_42	Avg NB LL            p25:-11.7273 median:-9.0438 p75:-7.4841 Mean:-10.5703 Std:9.9372
2024_02_03_23_16_42	uncorrupted          p25:-7.9398 median:-5.0228 p75:-1.9355 Mean:-5.4674 Std:7.1436
2024_02_03_23_16_42	Gaussian-Noise       p25:-17.312 median:-13.1382 p75:-10.068 Mean:-14.299 Std:5.916
2024_02_03_23_16_42	Random-jitter        p25:-23.3448 median:-12.8353 p75:-7.6644 Mean:-15.8827 Std:10.7533
2024_02_03_23_16_43	Worst NB LL          p25:-21.1918 median:-17.6062 p75:-15.3712 Mean:-18.8252 Std:4.6656
2024_02_03_23_16_43	Avg NB LL            p25:-11.0902 median:-8.6016 p75:-7.0249 Mean:-10.0709 Std:5.0567
