2024_02_03_23_11_44	--> LOG START <--
2024_02_03_23_11_45	sdd load complete!
2024_02_04_00_44_22	uncorrupted          p25:-4.6655 median:0.4602 p75:3.9964 Mean:-3.8296 Std:118.9178
2024_02_04_00_44_22	Gaussian-Noise       p25:-55.6948 median:-53.4316 p75:-51.7227 Mean:-55.5849 Std:116.5642
2024_02_04_00_44_22	Random-jitter        p25:-54.7038 median:-51.1557 p75:-26.2606 Mean:-50.1953 Std:797.6327
2024_02_04_00_44_36	Worst NB LL          p25:-57.8545 median:-55.5672 p75:-53.8883 Mean:-57.7983 Std:120.0067
2024_02_04_00_44_36	Avg NB LL            p25:-52.8299 median:-50.773 p75:-49.3834 Mean:-53.0344 Std:117.8675
2024_02_04_00_44_36	uncorrupted          p25:-7.0929 median:2.9462 p75:8.3403 Mean:0.6181 Std:42.7392
2024_02_04_00_44_36	Gaussian-Noise       p25:-95.0336 median:-94.7032 p75:-94.4854 Mean:-95.1707 Std:39.1014
2024_02_04_00_44_36	Random-jitter        p25:-94.6641 median:-94.2645 p75:-24.9805 Mean:-65.478 Std:37.8684
2024_02_04_00_45_02	Worst NB LL          p25:-95.2503 median:-94.9021 p75:-94.6572 Mean:-95.4927 Std:39.3796
2024_02_04_00_45_02	Avg NB LL            p25:-87.1853 median:-84.7452 p75:-83.5052 Mean:-86.7085 Std:39.4778
