2024_02_03_23_11_53	--> LOG START <--
2024_02_03_23_11_55	superconduct load complete!
2024_02_04_00_42_15	uncorrupted          p25:28.0778 median:55.6197 p75:113.0515 Mean:62.8221 Std:52.1914
2024_02_04_00_42_15	Gaussian-Noise       p25:-460.9209 median:-362.2596 p75:-283.1281 Mean:-384.2117 Std:140.7384
2024_02_04_00_42_15	Random-jitter        p25:-1639.3776 median:-932.4445 p75:-613.1796 Mean:-1480.3824 Std:1632.4803
2024_02_04_00_42_45	Worst NB LL          p25:-432.8996 median:-378.9367 p75:-336.3836 Mean:-394.9883 Std:94.1465
2024_02_04_00_42_45	Avg NB LL            p25:-180.6159 median:-155.2409 p75:-133.1235 Mean:-164.1428 Std:54.3443
2024_02_04_00_42_45	uncorrupted          p25:18.3566 median:45.4457 p75:108.5436 Mean:59.4312 Std:49.5976
2024_02_04_00_42_45	Gaussian-Noise       p25:-282.8131 median:-223.7007 p75:-171.4035 Mean:-235.2098 Std:88.2536
2024_02_04_00_42_45	Random-jitter        p25:-971.2463 median:-553.2913 p75:-363.9744 Mean:-880.9635 Std:968.6981
2024_02_04_00_43_16	Worst NB LL          p25:-273.9397 median:-240.6104 p75:-212.0045 Mean:-249.9014 Std:59.6658
2024_02_04_00_43_16	Avg NB LL            p25:-112.502 median:-95.8909 p75:-83.4206 Mean:-101.6336 Std:34.2819
