2023_10_16_12_23_41	--> LOG START <--
2023_10_16_12_23_42	airquality load complete!
2023_10_16_13_05_14	TestLL p25:-2.5336 median:-0.2987 p75:1.7292 Mean:-1.1588 Std:9.2923
2023_10_16_13_05_14	TestLL p25:-24.5246 median:-13.7879 p75:-7.9555 Mean:-26.4215 Std:68.8987
2023_10_16_13_05_14	TestLL p25:-17.7567 median:-6.2202 p75:-1.537 Mean:-218.7617 Std:3270.2371
2023_10_16_13_05_18	Worst NB LL p25:-12.4534 median:-7.573 p75:-4.6995 Mean:-14.1652 Std:38.0802
2023_10_16_13_05_18	Avg NB LL p25:-4.2836 median:-1.7375 p75:0.0744 Mean:-3.7466 Std:11.1822
2023_10_16_13_46_16	TestLL p25:-2.5492 median:-0.2612 p75:1.5848 Mean:-1.2297 Std:8.3361
2023_10_16_13_46_16	TestLL p25:-23.6622 median:-13.544 p75:-7.8455 Mean:-25.4981 Std:64.0972
2023_10_16_13_46_16	TestLL p25:-17.1674 median:-6.19 p75:-1.4145 Mean:-311.4882 Std:5217.5392
2023_10_16_13_46_20	Worst NB LL p25:-12.996 median:-7.6498 p75:-4.7448 Mean:-13.4246 Std:28.1625
2023_10_16_13_46_20	Avg NB LL p25:-4.3855 median:-1.7395 p75:0.0248 Mean:-3.6514 Std:9.0659
