2023_10_16_12_23_44	--> LOG START <--
2023_10_16_12_23_45	energy load complete!
2023_10_16_13_22_10	TestLL p25:-2.7767 median:2.641 p75:7.243 Mean:0.986 Std:10.4085
2023_10_16_13_22_10	TestLL p25:-81.4187 median:-49.0645 p75:-30.4984 Mean:-66.9744 Std:63.1437
2023_10_16_13_22_10	TestLL p25:-179.1965 median:-83.4761 p75:-36.2964 Mean:-142.4244 Std:179.0009
2023_10_16_13_22_23	Worst NB LL p25:-48.4753 median:-29.7693 p75:-20.0029 Mean:-41.0238 Std:40.0354
2023_10_16_13_22_23	Avg NB LL p25:-8.8852 median:-3.8424 p75:-0.0601 Mean:-5.9383 Std:10.5804
2023_10_16_14_18_55	TestLL p25:-2.8713 median:2.7349 p75:7.4106 Mean:0.9886 Std:10.846
2023_10_16_14_18_55	TestLL p25:-81.8493 median:-50.0538 p75:-30.7785 Mean:-67.963 Std:63.6908
2023_10_16_14_18_55	TestLL p25:-180.6444 median:-82.3013 p75:-36.0761 Mean:-142.6811 Std:175.1521
2023_10_16_14_19_11	Worst NB LL p25:-48.9697 median:-30.7348 p75:-19.7978 Mean:-41.956 Std:41.6548
2023_10_16_14_19_11	Avg NB LL p25:-9.1676 median:-3.9599 p75:0.129 Mean:-6.0212 Std:10.9451
