2023_10_16_12_23_46	--> LOG START <--
2023_10_16_12_23_48	hepmass load complete!
2023_10_16_13_49_48	TestLL p25:-28.8575 median:-26.0166 p75:-23.7722 Mean:-26.8107 Std:5.425
2023_10_16_13_49_48	TestLL p25:-30.006 median:-27.031 p75:-24.6622 Mean:-27.9187 Std:6.3322
2023_10_16_13_49_49	TestLL p25:-28.5131 median:-25.7055 p75:-23.5363 Mean:-26.5166 Std:4.5646
2023_10_16_13_51_57	Worst NB LL p25:-30.5484 median:-27.4232 p75:-25.0515 Mean:-28.4399 Std:6.19
2023_10_16_13_51_57	Avg NB LL p25:-28.953 median:-26.1152 p75:-23.8828 Mean:-26.9143 Std:5.4218
2023_10_16_15_06_37	TestLL p25:-28.8657 median:-26.0132 p75:-23.7491 Mean:-26.8095 Std:5.406
2023_10_16_15_06_37	TestLL p25:-30.0037 median:-27.0244 p75:-24.661 Mean:-27.9175 Std:6.2865
2023_10_16_15_06_37	TestLL p25:-28.5053 median:-25.6745 p75:-23.5097 Mean:-26.4957 Std:4.5683
2023_10_16_15_07_53	Worst NB LL p25:-30.5602 median:-27.4146 p75:-25.0319 Mean:-28.4354 Std:6.1514
2023_10_16_15_07_53	Avg NB LL p25:-28.9594 median:-26.1134 p75:-23.8606 Mean:-26.913 Std:5.3978
