2023_10_16_12_23_49	--> LOG START <--
2023_10_16_12_23_50	miniboone load complete!
2023_10_16_13_37_03	TestLL p25:-33.3789 median:-23.4057 p75:-14.9747 Mean:-26.2966 Std:17.8592
2023_10_16_13_37_03	TestLL p25:-55.8401 median:-44.7317 p75:-36.3672 Mean:-48.4013 Std:20.0003
2023_10_16_13_37_04	TestLL p25:-89.3012 median:-57.6936 p75:-37.7472 Mean:-78.5434 Std:101.3263
2023_10_16_13_38_01	Worst NB LL p25:-45.1669 median:-34.9857 p75:-27.1817 Mean:-38.9067 Std:21.2126
2023_10_16_13_38_01	Avg NB LL p25:-35.0787 median:-25.4012 p75:-17.6052 Mean:-28.4254 Std:17.1768
2023_10_16_14_49_04	TestLL p25:-33.3789 median:-23.4057 p75:-14.9747 Mean:-26.2966 Std:17.8592
2023_10_16_14_49_04	TestLL p25:-55.8401 median:-44.7317 p75:-36.3672 Mean:-48.4013 Std:20.0003
2023_10_16_14_49_04	TestLL p25:-89.3012 median:-57.6936 p75:-37.7472 Mean:-78.5434 Std:101.3263
2023_10_16_14_50_01	Worst NB LL p25:-45.1669 median:-34.9857 p75:-27.1817 Mean:-38.9067 Std:21.2126
2023_10_16_14_50_01	Avg NB LL p25:-35.0787 median:-25.4012 p75:-17.6052 Mean:-28.4254 Std:17.1768
