2023_10_16_12_23_41	--> LOG START <--
2023_10_16_12_36_10	mnist load complete!
2023_10_16_13_44_45	TestLL p25:-13.1281 median:-10.369 p75:-7.8534 Mean:-10.3313 Std:6.2205
2023_10_16_13_44_45	TestLL p25:-15.3759 median:-12.335 p75:-9.9248 Mean:-13.2205 Std:5.9771
2023_10_16_13_44_45	TestLL p25:-15.3477 median:-12.3805 p75:-10.0156 Mean:-13.0138 Std:5.4704
2023_10_16_13_45_32	Worst NB LL p25:-4564.0261 median:-3525.4237 p75:-3039.9217 Mean:-4242.289 Std:2161.8259
2023_10_16_13_45_32	Avg NB LL p25:-1285.3777 median:-936.8052 p75:-803.461 Mean:-1158.3545 Std:616.5946
2023_10_16_14_49_53	TestLL p25:-13.1505 median:-10.3588 p75:-7.8867 Mean:-10.307 Std:6.1807
2023_10_16_14_49_53	TestLL p25:-15.4242 median:-12.3759 p75:-9.9656 Mean:-13.1996 Std:5.7504
2023_10_16_14_49_53	TestLL p25:-15.3554 median:-12.4448 p75:-10.0399 Mean:-13.0198 Std:5.4904
2023_10_16_14_50_29	Worst NB LL p25:-4376.2217 median:-3459.0609 p75:-2993.5788 Mean:-4125.7171 Std:2082.5248
2023_10_16_14_50_29	Avg NB LL p25:-1232.0296 median:-920.5098 p75:-788.6034 Mean:-1129.067 Std:613.764
