2023_10_16_12_23_47	--> LOG START <--
2023_10_16_12_23_53	onlinenews load complete!
2023_10_16_13_31_40	TestLL p25:-22.5133 median:-14.5455 p75:-9.2097 Mean:-19.4342 Std:63.5606
2023_10_16_13_31_40	TestLL p25:-44.3804 median:-36.0859 p75:-29.1311 Mean:-44.631 Std:129.1761
2023_10_16_13_31_40	TestLL p25:-38.6862 median:-23.0425 p75:-15.2756 Mean:-39.1886 Std:88.0148
2023_10_16_13_32_37	Worst NB LL p25:-34.2034 median:-25.6206 p75:-20.4057 Mean:-35.4536 Std:114.4913
2023_10_16_13_32_37	Avg NB LL p25:-25.676 median:-17.8198 p75:-12.9661 Mean:-23.1096 Std:66.25
2023_10_16_14_37_57	TestLL p25:-21.915 median:-14.0249 p75:-8.4752 Mean:-20.4 Std:107.3254
2023_10_16_14_37_57	TestLL p25:-47.1146 median:-37.9105 p75:-30.1712 Mean:-59.339 Std:338.456
2023_10_16_14_37_58	TestLL p25:-38.3333 median:-23.3236 p75:-15.0625 Mean:-44.9614 Std:161.9033
2023_10_16_14_38_51	Worst NB LL p25:-34.8902 median:-26.954 p75:-21.0594 Mean:-50.6638 Std:283.8338
2023_10_16_14_38_51	Avg NB LL p25:-25.0533 median:-17.6428 p75:-12.5689 Mean:-25.8061 Std:115.1156
