2023_10_16_12_23_45	--> LOG START <--
2023_10_16_12_23_47	sdd load complete!
2023_10_16_13_35_19	TestLL p25:-19.1816 median:-9.3683 p75:-4.5899 Mean:-20.4031 Std:490.0857
2023_10_16_13_35_20	TestLL p25:-55.9402 median:-46.6477 p75:-40.7536 Mean:-56.756 Std:491.1149
2023_10_16_13_35_20	TestLL p25:-43.9889 median:-24.1244 p75:-10.9901 Mean:-39.4999 Std:514.82
2023_10_16_13_36_22	Worst NB LL p25:-52.5757 median:-41.8412 p75:-36.4425 Mean:-52.9335 Std:493.2311
2023_10_16_13_36_22	Avg NB LL p25:-32.6927 median:-23.4612 p75:-18.8643 Mean:-34.0355 Std:489.907
2023_10_16_14_44_54	TestLL p25:-18.0655 median:-10.6001 p75:-6.1598 Mean:-36.2071 Std:1922.4423
2023_10_16_14_44_54	TestLL p25:-50.1581 median:-40.9908 p75:-35.2707 Mean:-66.1207 Std:1907.2339
2023_10_16_14_44_54	TestLL p25:-40.4463 median:-22.9028 p75:-11.5276 Mean:-46.9564 Std:1381.1701
2023_10_16_14_45_57	Worst NB LL p25:-48.0787 median:-39.4499 p75:-33.4116 Mean:-64.8147 Std:1934.6687
2023_10_16_14_45_57	Avg NB LL p25:-30.3775 median:-23.4055 p75:-19.0938 Mean:-48.565 Std:1921.7241
