2023_10_16_12_23_48	--> LOG START <--
2023_10_16_12_23_51	superconduct load complete!
2023_10_16_13_45_40	TestLL p25:29.3677 median:44.5865 p75:53.8712 Mean:40.4387 Std:45.3556
2023_10_16_13_45_40	TestLL p25:-266.0539 median:-194.7415 p75:-146.8858 Mean:-219.8336 Std:105.0022
2023_10_16_13_45_40	TestLL p25:-918.1262 median:-563.2223 p75:-346.1354 Mean:-756.2441 Std:702.0092
2023_10_16_13_46_14	Worst NB LL p25:-72.5229 median:-43.0337 p75:-20.3865 Mean:-56.0793 Std:59.5676
2023_10_16_13_46_14	Avg NB LL p25:3.2245 median:17.6683 p75:25.439 Mean:7.1056 Std:37.1933
2023_10_16_15_04_24	TestLL p25:34.0252 median:50.8034 p75:73.3048 Mean:43.7945 Std:45.5742
2023_10_16_15_04_24	TestLL p25:-250.3675 median:-184.9396 p75:-141.043 Mean:-208.7622 Std:102.9368
2023_10_16_15_04_24	TestLL p25:-912.7244 median:-543.8693 p75:-341.1834 Mean:-744.0321 Std:702.1948
2023_10_16_15_04_50	Worst NB LL p25:-64.1814 median:-34.8284 p75:-12.8621 Mean:-48.6183 Std:62.1543
2023_10_16_15_04_50	Avg NB LL p25:8.8881 median:26.3434 p75:37.8895 Mean:16.0142 Std:41.4303
